right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1029.6931,1030.1916,,,1030.4429,1031.3911,right,,,,,,,,0.45,0.9368,,,,,,,1030.1916,1030.4427,1031.3912,1032.4911,,,,,,,,0,81,81,64,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1032.4922,1032.9914,,,1033.2426,1033.7749,left,,,,,,,,0.1,0.5172,,,,,,,1032.9916,1033.2425,1033.7751,1034.875,,,,,,,,0,82,82,9,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1034.8761,1035.3749,,,1035.626,1036.2414,right,,,,,,,,0.45,0.6063,,,,,,,1035.3754,1035.6258,1036.2417,1037.3407,,,,,,,,0,83,83,67,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1037.3426,1037.841,,,1038.0923,1038.9912,left,,,,,,,,0.6,0.8871,,,,,,,1037.8411,1038.0923,1038.9913,1040.0911,,,,,,,,0,84,84,169,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1040.0927,1040.591,,,1040.8426,1041.4581,left,,,,,,,,0.5,0.6023,,,,,,,1040.5911,1040.8425,1041.4582,1042.5574,,,,,,,,0,85,85,115,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1042.5592,1043.0573,,,1043.3086,1043.524,right,,,,,,,,0.45,0.2068,,,,,,,1043.0574,1043.3085,1043.524,1044.6237,,,,,,,,0,86,86,80,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1044.625,1045.1234,,,1045.3749,1046.3572,left,,,,,,,,0.5,0.974,,,,,,,1045.1234,1045.3748,1046.3572,1047.4571,,,,,,,,0,87,87,111,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1047.4585,1047.9573,,,1048.2089,1048.9242,right,,,,,,,,0.9,0.7022,,,,,,,1047.9573,1048.2088,1048.9244,1050.0234,,,,,,,,0,88,88,198,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1050.0242,1050.5238,,,1050.7752,1051.2576,right,,,,,,,,0.9,0.4693,,,,,,,1050.5238,1050.7751,1051.2577,1052.3572,,,,,,,,0,89,89,182,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1052.3588,1052.857,,,1053.1082,1053.5741,right,,,,,,,,0.9,0.4522,,,,,,,1052.857,1053.1082,1053.5743,1054.6736,,,,,,,,0,90,90,184,1
