right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,511.6478,512.1461,,,512.3963,512.9308,right,0.5236,,,,,,,,,0.45,,,,,,512.1461,512.3962,512.9308,514.0301,0,154,154,68,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,514.0309,514.5296,,,514.7795,515.2964,left,0.5017,,,,,,,,,0.6,,,,,,514.5297,514.7795,515.2964,516.396,0,155,155,150,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,516.3964,516.8961,,,517.1461,517.7966,left,0.6397,,,,,,,,,0.4,,,,,,516.8961,517.1461,517.7967,518.8959,0,156,156,42,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,518.8961,519.3969,,,519.6461,519.9459,right,0.284,,,,,,,,,0.9,,,,,,519.3969,519.6461,519.946,521.0458,0,157,157,182,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,521.0461,521.5464,,,521.7961,522.1127,left,0.3006,,,,,,,,,0.45,,,,,,521.5465,521.796,522.1127,523.2129,0,158,158,74,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,523.2133,523.7129,,,523.9627,524.4626,right,0.4928,,,,,,,,,0.55,,,,,,523.7129,523.9625,524.4626,525.575,0,159,159,137,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,525.5773,526.0793,,,526.3138,526.9168,left,0.5811,,,,,,,,,0.55,,,,,,526.0795,526.3136,526.9168,528.0126,0,160,160,141,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,528.0131,528.5122,,,528.7697,529.2796,left,0.4841,,,,,,,,,0.4,,,,,,528.5122,528.7696,529.2797,530.3822,0,161,161,38,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,530.3827,530.8788,,,531.1171,531.5628,left,0.417,,,,,,,,,0.45,,,,,,530.879,531.1171,531.5629,532.6622,0,162,162,67,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,532.6627,533.1624,,,533.4168,533.846,right,0.4059,,,,,,,,,0.6,,,,,,533.1626,533.4168,533.846,534.9454,0,163,163,177,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,534.9461,535.4459,,,535.6845,536.2678,left,0.5667,,,,,,,,,0.4,,,,,,535.4461,535.6844,536.2678,537.3633,0,164,164,52,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,537.3647,537.8667,,,538.1165,538.3956,right,0.254,,,,,,,,,0.9,,,,,,537.8667,538.1165,538.3957,539.4954,0,165,165,188,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,539.496,539.9956,,,540.2515,540.5788,left,0.3054,,,,,,,,,0.5,,,,,,539.9956,540.2514,540.5789,541.6795,0,166,166,105,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,541.6806,542.1822,,,542.4344,542.7172,left,0.2647,,,,,,,,,0.1,,,,,,542.1822,542.4343,542.7172,543.8122,0,167,167,14,1,,,,,,,
