right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,924.8534,925.3331,,,925.5829,926.1031,right,,,,,,,,0.6,,,,,,925.3332,925.5827,0.4991,,926.1033,927.2069,,,,,,,,0,86,86,173,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,927.2097,927.6922,,,927.945,928.6688,left,,,,,,,,0.1,,,,,,927.6923,927.9448,0.7013,,928.6691,929.7469,,,,,,,,0,87,87,21,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,929.7492,930.2334,,,930.4695,931.097,left,,,,,,,,0.1,,,,,,930.2343,930.4692,0.605,,931.0973,932.2028,,,,,,,,0,88,88,15,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,932.2053,932.6968,,,932.9445,933.6077,left,,,,,,,,0.4,,,,,,932.697,932.9442,0.641,,933.6079,934.7133,,,,,,,,0,89,89,45,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,934.7165,935.2249,,,935.4657,936.3093,left,,,,,,,,0.4,,,,,,935.2256,935.4653,0.8182,,936.31,937.3985,,,,,,,,0,90,90,57,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,937.4015,937.8814,,,938.1266,938.9376,right,,,,,,,,0.5,,,,,,937.8816,938.1264,0.787,,938.9379,940.0435,,,,,,,,0,91,91,103,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,940.0473,940.5402,,,940.7915,941.1856,right,,,,,,,,0.9,,,,,,940.5403,940.7911,0.3668,,941.1864,942.2882,,,,,,,,0,92,92,196,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,942.2908,942.7958,,,943.051,943.6432,left,,,,,,,,0.4,,,,,,942.796,943.0507,0.5675,,943.6434,944.7314,,,,,,,,0,93,93,47,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,944.734,945.2399,,,945.4771,946.0575,left,,,,,,,,0.45,,,,,,945.2401,945.4769,0.5589,,946.0583,947.1445,,,,,,,,0,94,94,65,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,947.1481,947.6576,,,947.8889,948.2962,right,,,,,,,,0.6,,,,,,947.6577,947.8886,0.3836,,948.2964,949.3854,,,,,,,,0,95,95,170,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,949.3885,949.8929,,,950.1527,950.9235,left,,,,,,,,0.45,,,,,,949.8931,950.1525,0.7487,,950.9237,952.0322,,,,,,,,0,96,96,83,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,952.0345,952.5257,,,952.7553,953.7059,right,,,,,,,,0.5,,,,,,952.5262,952.7551,0.9279,,953.7063,954.8036,,,,,,,,0,97,97,105,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,954.8052,955.3107,,,955.5596,956.5287,right,,,,,,,,0.6,,,,,,955.3108,955.5593,0.9485,,956.5289,957.6281,,,,,,,,0,98,98,174,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,957.6302,958.1128,,,958.3584,959.325,left,,,,,,,,0.45,,,,,,958.1134,958.3581,0.9445,,959.3255,960.4374,,,,,,,,0,99,99,62,1
